Comunidades y ciudades autónomas	Tipo de divorcio	Periodo	Total
Total Nacional	Total	2018	95254
Total Nacional	Total	2017	97960
Total Nacional	Total	2016	96824
Total Nacional	Total	2015	96562
Total Nacional	Total	2014	100746
Total Nacional	Total	2013	95427
Total Nacional	Divorcio de mutuo acuerdo	2018	73980
Total Nacional	Divorcio de mutuo acuerdo	2017	75617
Total Nacional	Divorcio de mutuo acuerdo	2016	74161
Total Nacional	Divorcio de mutuo acuerdo	2015	73278
Total Nacional	Divorcio de mutuo acuerdo	2014	76646
Total Nacional	Divorcio de mutuo acuerdo	2013	71960
Total Nacional	Divorcio contencioso	2018	21274
Total Nacional	Divorcio contencioso	2017	22343
Total Nacional	Divorcio contencioso	2016	22663
Total Nacional	Divorcio contencioso	2015	23284
Total Nacional	Divorcio contencioso	2014	24100
Total Nacional	Divorcio contencioso	2013	23467
