Sexo	Edad	Provincias	Periodo	Total
Ambos sexos	Total	02 Albacete	2018	389322
Ambos sexos	Total	02 Albacete	2017	390304
Ambos sexos	Total	02 Albacete	2016	392036
Ambos sexos	Total	02 Albacete	2015	393664
Ambos sexos	Total	02 Albacete	2014	395668
Ambos sexos	Total	02 Albacete	2013	397719
Ambos sexos	Total	02 Albacete	2012	400430
Ambos sexos	Total	02 Albacete	2011	401254
Ambos sexos	Total	02 Albacete	2010	399967
Ambos sexos	Total	02 Albacete	2009	398645
Ambos sexos	Total	02 Albacete	2008	396292
Ambos sexos	Total	02 Albacete	2007	392025
Ambos sexos	Total	02 Albacete	2006	386095
Ambos sexos	Total	02 Albacete	2005	381393
Ambos sexos	Total	03 Alicante/Alacant	2018	1848500
Ambos sexos	Total	03 Alicante/Alacant	2017	1838940
Ambos sexos	Total	03 Alicante/Alacant	2016	1839982
Ambos sexos	Total	03 Alicante/Alacant	2015	1839975
Ambos sexos	Total	03 Alicante/Alacant	2014	1848498
Ambos sexos	Total	03 Alicante/Alacant	2013	1850390
Ambos sexos	Total	03 Alicante/Alacant	2012	1853643
Ambos sexos	Total	03 Alicante/Alacant	2011	1847587
Ambos sexos	Total	03 Alicante/Alacant	2010	1840159
Ambos sexos	Total	03 Alicante/Alacant	2009	1837673
Ambos sexos	Total	03 Alicante/Alacant	2008	1828487
Ambos sexos	Total	03 Alicante/Alacant	2007	1793377
Ambos sexos	Total	03 Alicante/Alacant	2006	1739193
Ambos sexos	Total	03 Alicante/Alacant	2005	1688959
Ambos sexos	Total	04 Almería	2018	701831
Ambos sexos	Total	04 Almería	2017	700704
Ambos sexos	Total	04 Almería	2016	698033
Ambos sexos	Total	04 Almería	2015	693634
Ambos sexos	Total	04 Almería	2014	689390
Ambos sexos	Total	04 Almería	2013	689966
Ambos sexos	Total	04 Almería	2012	690026
Ambos sexos	Total	04 Almería	2011	687413
Ambos sexos	Total	04 Almería	2010	683783
Ambos sexos	Total	04 Almería	2009	676797
Ambos sexos	Total	04 Almería	2008	666284
Ambos sexos	Total	04 Almería	2007	649622
Ambos sexos	Total	04 Almería	2006	635564
Ambos sexos	Total	04 Almería	2005	617802
Ambos sexos	Total	01 Araba/Álava	2018	326419
Ambos sexos	Total	01 Araba/Álava	2017	324569
Ambos sexos	Total	01 Araba/Álava	2016	322706
Ambos sexos	Total	01 Araba/Álava	2015	321077
Ambos sexos	Total	01 Araba/Álava	2014	320297
Ambos sexos	Total	01 Araba/Álava	2013	319774
Ambos sexos	Total	01 Araba/Álava	2012	319786
Ambos sexos	Total	01 Araba/Álava	2011	320546
Ambos sexos	Total	01 Araba/Álava	2010	318688
Ambos sexos	Total	01 Araba/Álava	2009	316720
Ambos sexos	Total	01 Araba/Álava	2008	313154
Ambos sexos	Total	01 Araba/Álava	2007	308653
Ambos sexos	Total	01 Araba/Álava	2006	304299
Ambos sexos	Total	01 Araba/Álava	2005	300724
Ambos sexos	Total	33 Asturias	2018	1024192
Ambos sexos	Total	33 Asturias	2017	1029953
Ambos sexos	Total	33 Asturias	2016	1037011
Ambos sexos	Total	33 Asturias	2015	1044043
Ambos sexos	Total	33 Asturias	2014	1054060
Ambos sexos	Total	33 Asturias	2013	1062935
Ambos sexos	Total	33 Asturias	2012	1070686
Ambos sexos	Total	33 Asturias	2011	1075114
Ambos sexos	Total	33 Asturias	2010	1076165
Ambos sexos	Total	33 Asturias	2009	1076430
Ambos sexos	Total	33 Asturias	2008	1074019
Ambos sexos	Total	33 Asturias	2007	1068046
Ambos sexos	Total	33 Asturias	2006	1063801
Ambos sexos	Total	33 Asturias	2005	1062559
Ambos sexos	Total	05 Ávila	2018	159251
Ambos sexos	Total	05 Ávila	2017	160519
Ambos sexos	Total	05 Ávila	2016	162611
Ambos sexos	Total	05 Ávila	2015	164505
Ambos sexos	Total	05 Ávila	2014	166368
Ambos sexos	Total	05 Ávila	2013	168237
Ambos sexos	Total	05 Ávila	2012	170196
Ambos sexos	Total	05 Ávila	2011	172006
Ambos sexos	Total	05 Ávila	2010	172984
Ambos sexos	Total	05 Ávila	2009	173606
Ambos sexos	Total	05 Ávila	2008	173564
Ambos sexos	Total	05 Ávila	2007	172001
Ambos sexos	Total	05 Ávila	2006	168930
Ambos sexos	Total	05 Ávila	2005	166851
Ambos sexos	Total	06 Badajoz	2018	673221
Ambos sexos	Total	06 Badajoz	2017	676136
Ambos sexos	Total	06 Badajoz	2016	680350
Ambos sexos	Total	06 Badajoz	2015	683822
Ambos sexos	Total	06 Badajoz	2014	687298
Ambos sexos	Total	06 Badajoz	2013	689415
Ambos sexos	Total	06 Badajoz	2012	690900
Ambos sexos	Total	06 Badajoz	2011	690921
Ambos sexos	Total	06 Badajoz	2010	688606
Ambos sexos	Total	06 Badajoz	2009	686009
Ambos sexos	Total	06 Badajoz	2008	682212
Ambos sexos	Total	06 Badajoz	2007	677227
Ambos sexos	Total	06 Badajoz	2006	671310
Ambos sexos	Total	06 Badajoz	2005	666168
Ambos sexos	Total	07 Balears, Illes	2018	1175745
Ambos sexos	Total	07 Balears, Illes	2017	1157977
Ambos sexos	Total	07 Balears, Illes	2016	1143276
Ambos sexos	Total	07 Balears, Illes	2015	1129743
Ambos sexos	Total	07 Balears, Illes	2014	1120470
Ambos sexos	Total	07 Balears, Illes	2013	1112736
Ambos sexos	Total	07 Balears, Illes	2012	1104322
Ambos sexos	Total	07 Balears, Illes	2011	1095456
Ambos sexos	Total	07 Balears, Illes	2010	1087640
Ambos sexos	Total	07 Balears, Illes	2009	1078053
Ambos sexos	Total	07 Balears, Illes	2008	1057440
Ambos sexos	Total	07 Balears, Illes	2007	1025216
Ambos sexos	Total	07 Balears, Illes	2006	987203
Ambos sexos	Total	07 Balears, Illes	2005	954612
Ambos sexos	Total	08 Barcelona	2018	5536855
Ambos sexos	Total	08 Barcelona	2017	5481935
Ambos sexos	Total	08 Barcelona	2016	5453595
Ambos sexos	Total	08 Barcelona	2015	5434340
Ambos sexos	Total	08 Barcelona	2014	5433744
Ambos sexos	Total	08 Barcelona	2013	5465193
Ambos sexos	Total	08 Barcelona	2012	5504057
Ambos sexos	Total	08 Barcelona	2011	5511857
Ambos sexos	Total	08 Barcelona	2010	5497519
Ambos sexos	Total	08 Barcelona	2009	5478819
Ambos sexos	Total	08 Barcelona	2008	5431864
Ambos sexos	Total	08 Barcelona	2007	5342369
Ambos sexos	Total	08 Barcelona	2006	5256368
Ambos sexos	Total	08 Barcelona	2005	5184895
Ambos sexos	Total	48 Bizkaia	2018	1135052
Ambos sexos	Total	48 Bizkaia	2017	1134120
Ambos sexos	Total	48 Bizkaia	2016	1134144
Ambos sexos	Total	48 Bizkaia	2015	1134756
Ambos sexos	Total	48 Bizkaia	2014	1138018
Ambos sexos	Total	48 Bizkaia	2013	1144096
Ambos sexos	Total	48 Bizkaia	2012	1152156
Ambos sexos	Total	48 Bizkaia	2011	1155897
Ambos sexos	Total	48 Bizkaia	2010	1155975
Ambos sexos	Total	48 Bizkaia	2009	1155322
Ambos sexos	Total	48 Bizkaia	2008	1151951
Ambos sexos	Total	48 Bizkaia	2007	1146329
Ambos sexos	Total	48 Bizkaia	2006	1139379
Ambos sexos	Total	48 Bizkaia	2005	1134194
Ambos sexos	Total	09 Burgos	2018	355246
Ambos sexos	Total	09 Burgos	2017	356238
Ambos sexos	Total	09 Burgos	2016	358398
Ambos sexos	Total	09 Burgos	2015	361129
Ambos sexos	Total	09 Burgos	2014	363756
Ambos sexos	Total	09 Burgos	2013	366989
Ambos sexos	Total	09 Burgos	2012	370367
Ambos sexos	Total	09 Burgos	2011	372676
Ambos sexos	Total	09 Burgos	2010	373338
Ambos sexos	Total	09 Burgos	2009	374302
Ambos sexos	Total	09 Burgos	2008	374053
Ambos sexos	Total	09 Burgos	2007	369175
Ambos sexos	Total	09 Burgos	2006	362515
Ambos sexos	Total	09 Burgos	2005	359136
Ambos sexos	Total	10 Cáceres	2018	393797
Ambos sexos	Total	10 Cáceres	2017	397009
Ambos sexos	Total	10 Cáceres	2016	400723
Ambos sexos	Total	10 Cáceres	2015	403803
Ambos sexos	Total	10 Cáceres	2014	406509
Ambos sexos	Total	10 Cáceres	2013	408834
Ambos sexos	Total	10 Cáceres	2012	411118
Ambos sexos	Total	10 Cáceres	2011	412593
Ambos sexos	Total	10 Cáceres	2010	411835
Ambos sexos	Total	10 Cáceres	2009	411117
Ambos sexos	Total	10 Cáceres	2008	409296
Ambos sexos	Total	10 Cáceres	2007	408536
Ambos sexos	Total	10 Cáceres	2006	406611
Ambos sexos	Total	10 Cáceres	2005	405811
Ambos sexos	Total	11 Cádiz	2018	1248509
Ambos sexos	Total	11 Cádiz	2017	1248476
Ambos sexos	Total	11 Cádiz	2016	1248321
